title_length,view_count,like_count,comment_count,video_length,tag_count,category_id,channel_subscriber_count
72,61711,856,,948,19,26,77300000
66,163126,1705,125,3886,19,26,77300000
69,169628,1646,31,939,19,26,77300000
61,190910,1694,87,909,19,26,77300000
82,277825,3148,103,909,19,26,77300000
61,1635806,11342,118,971,19,26,77300000
82,202592,1801,81,968,19,26,77300000
75,552561,4434,90,927,21,26,77300000
67,147591,1359,53,923,19,26,77300000
49,188047,1156,,3640,19,26,77300000
47,95186,1135,81,952,19,26,77300000
39,311466,3337,121,645,19,26,77300000
62,135328,1441,60,921,19,26,77300000
52,129445,1954,,941,19,26,77300000
38,170291,2214,55,901,19,26,77300000
43,59946,686,47,980,19,26,77300000
57,913958,8207,165,601,19,26,77300000
37,1201494,9720,104,3797,19,26,77300000
52,102428,959,,904,19,26,77300000
60,1083016,8519,156,601,19,26,77300000
55,178372,2338,70,1018,19,26,77300000
50,630257,5349,210,3642,19,26,77300000
62,165411,1708,105,593,19,26,77300000
52,56450,816,53,974,19,26,77300000
45,212539,2623,105,1108,19,26,77300000
42,1004220,8135,319,967,19,26,77300000
39,420974,4134,130,995,19,26,77300000
40,233472,2889,66,1001,19,26,77300000
62,142691,1546,82,1013,19,26,77300000
62,750190,5943,188,601,19,26,77300000
62,324771,2798,76,3671,19,26,77300000
43,971817,10316,,3630,19,26,77300000
67,99380,1345,44,1135,19,26,77300000
39,272123,10492,64,15,24,26,77300000
65,1208669,10240,114,948,19,26,77300000
38,699325,6410,149,1017,19,26,77300000
34,1508298,44680,62,17,24,26,77300000
67,772578,5562,111,1025,19,26,77300000
47,83977,1034,46,933,19,26,77300000
48,425332,3193,168,966,19,26,77300000
47,432702,3245,235,3730,19,26,77300000
40,102865,1274,81,943,19,26,77300000
42,107608,1130,52,928,19,26,77300000
35,434529,3716,251,964,19,26,77300000
47,256603,1671,42,990,19,26,77300000
48,73158,1077,86,1047,19,26,77300000
36,312748,2613,136,3676,19,26,77300000
52,546541,3190,100,644,19,26,77300000
56,144192,1561,41,1029,19,26,77300000
68,207685,1839,96,950,19,26,77300000
88,238626,2204,106,601,19,26,77300000
72,93598,1155,63,923,19,26,77300000
52,694907,5629,,482,19,26,77300000
71,1329121,5195,,3698,19,26,77300000
48,100438,1035,87,993,19,26,77300000
39,194015,1625,91,965,19,26,77300000
65,155855,1487,86,989,19,26,77300000
65,154469,1729,70,912,19,26,77300000
43,295878,2117,51,3609,19,26,77300000
47,259935,2502,108,949,19,26,77300000
42,194901,2197,94,995,19,26,77300000
38,843154,3244,85,972,19,26,77300000
34,223451,2137,87,940,19,26,77300000
34,200311,2161,62,986,19,26,77300000
55,110306,1371,81,976,19,26,77300000
51,272465,2104,,3682,19,26,77300000
48,970749,10344,,985,19,26,77300000
66,1312642,9833,236,608,19,26,77300000
41,120463,1104,59,950,19,26,77300000
33,196523,1821,76,937,19,26,77300000
59,1239786,9683,135,3933,19,26,77300000
47,87609,925,78,920,19,26,77300000
55,419195,3260,118,948,19,26,77300000
56,109191,728,38,505,19,26,77300000
50,1294892,4827,104,985,19,26,77300000
37,166711,1703,66,987,19,26,77300000
58,531840,4447,77,3780,19,26,77300000
52,398454,3661,113,953,19,26,77300000
65,215085,1635,49,956,19,26,77300000
61,829033,6836,138,578,19,26,77300000
44,75494,991,51,925,19,26,77300000
43,1136361,9458,219,1041,19,26,77300000
39,355525,3745,95,911,19,26,77300000
48,157261,1302,62,925,19,26,77300000
47,424952,3584,,3650,19,26,77300000
47,154605,1238,78,994,19,26,77300000
30,174800,1203,73,1029,19,26,77300000
57,901171,4002,173,973,19,26,77300000
64,397981,3991,92,1045,19,26,77300000
60,129709,1343,79,991,19,26,77300000
37,874147,7771,161,3639,19,26,77300000
42,1008390,9063,126,496,19,26,77300000
54,748120,4724,72,953,19,26,77300000
60,291103,2469,156,1070,19,26,77300000
32,119883,1226,52,930,19,26,77300000
59,1251251,9118,220,574,19,26,77300000
64,1003223,6636,197,2264,19,26,77300000
58,124190,1359,133,928,19,26,77300000
44,176968,1832,69,961,19,26,77300000
51,126837,1168,64,1057,19,26,77300000
45,166199,1831,,935,19,26,77300000
50,349234,3944,83,1028,19,26,77300000
45,750687,7928,115,3667,19,26,77300000
44,241519,2226,71,993,19,26,77300000
57,167088,2017,117,972,19,26,77300000
64,341383,3243,69,501,19,26,77300000
50,952772,7415,143,916,19,26,77300000
40,498508,4306,132,1010,19,26,77300000
61,769586,5378,96,973,19,26,77300000
62,316800,2818,41,3785,19,26,77300000
44,236775,2392,77,1004,19,26,77300000
44,334612,2319,55,561,19,26,77300000
42,401159,3421,92,961,19,26,77300000
62,870804,5566,,3782,19,26,77300000
36,290670,2937,93,936,19,26,77300000
54,241098,2211,67,911,19,26,77300000
31,113506,1088,54,912,19,26,77300000
64,1326838,10280,237,935,19,26,77300000
63,431168,3306,,3711,19,26,77300000
41,598688,4664,124,941,19,26,77300000
54,773850,6868,103,913,19,26,77300000
44,193374,1349,77,943,19,26,77300000
67,920005,5351,101,946,19,26,77300000
70,526013,4263,165,549,19,26,77300000
41,93906,1082,142,945,19,26,77300000
65,405415,2847,90,1101,19,26,77300000
43,912735,7524,159,926,19,26,77300000
38,944891,7206,64,649,19,26,77300000
59,537991,3955,124,956,19,26,77300000
42,1302319,10045,185,617,19,26,77300000
50,1321448,9608,179,918,19,26,77300000
49,777541,6079,141,969,19,26,77300000
57,191539,1543,142,3383,19,26,77300000
38,204499,2021,48,1046,19,26,77300000
52,641601,6066,135,928,19,26,77300000
45,754187,6238,135,1013,19,26,77300000
62,1745673,13699,,3623,19,26,77300000
50,1376323,10643,,3702,19,26,77300000
34,924847,7507,139,937,19,26,77300000
67,547851,5120,,972,19,26,77300000
79,790259,7311,206,521,19,26,77300000
44,181952,1734,59,943,19,26,77300000
64,592492,5274,97,926,19,26,77300000
55,587544,3490,75,954,19,26,77300000
54,374709,2943,98,1103,19,26,77300000
67,366716,3144,72,987,19,26,77300000
56,2156986,14640,217,933,19,26,77300000
72,742240,5453,151,3720,19,26,77300000
43,910268,9014,142,482,19,26,77300000
33,1764294,63818,125,26,14,26,77300000
53,392159,3368,37,3670,19,26,77300000
46,678108,5853,113,947,19,26,77300000
37,494350,3454,88,953,19,26,77300000
42,133884,1514,118,911,19,26,77300000
44,370404,3976,115,945,19,26,77300000
44,194240,1867,82,975,19,26,77300000
56,192711,1793,71,938,19,26,77300000
73,220430,1703,70,900,19,26,77300000
52,1528716,12141,276,903,19,26,77300000
53,301691,2311,,3665,19,26,77300000
63,802161,8184,157,582,19,26,77300000
48,275046,1980,57,1018,19,26,77300000
47,242969,2427,,3768,19,26,77300000
56,332577,1454,,916,19,26,77300000
